technology,datawidth,action,energy,area,comment
7nm,1,compute,56.5,15000,(NOTE: Computation is in Viniths iPad) energy in pJ; (300×50) area in um^2
7nm,1,idle,0,15000,energy in pJ; (300×50) area in um^2
